Start Time,End Time,Annotations,Type,Index
00:00:12,00:00:12,(silence) [inaudible 00:00:12].,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2018"
00:00:14,00:00:14,If mine is-,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2019"
00:00:15,00:00:16,"[crosstalk 00:00:15] the vibrate is on, so it [inaudible 00:00:16].",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2020"
00:00:15,00:00:17,"... mine is charging, so-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2021"
00:00:17,00:00:19,"Well, but it's quiet, it's [crosstalk 00:00:19].",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2022"
00:00:19,00:00:22,"... Yeah, just pull the side of it. Do you know how to do the iPhone?",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2023"
00:00:24,00:00:24,I don't. [crosstalk 00:00:24].,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2024"
00:00:24,00:00:30,"There's this switch on the side, and just pull it down and it'll just be red in it. See that little-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2025"
00:00:30,00:00:31,That little flippy switch.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2026"
00:00:32,00:00:33,Yep.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2027"
00:00:32,00:00:34,"Yep, just press it down in there.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2028"
00:00:34,00:00:34,Got it.,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2029"
00:00:34,00:00:34,Is that where [crosstalk 00:00:41]?,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2030"
00:00:34,00:00:34,[crosstalk 00:00:41].,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2031"
00:00:41,00:00:45,"I mean if you really want to be out of it, then I wouldn't be like sort of out it.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2032"
00:00:45,00:00:46,Partially.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2033"
00:00:45,00:00:48,"Yeah, I would say either be out or in.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2034"
00:00:49,00:00:52,That bar looks good behind you. Should I put some bourbon up there?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2035"
00:00:53,00:00:54,You can put some bourbon on me.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2036"
00:00:53,00:00:54,Do you want-,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2037"
00:00:53,00:00:54,I was gonna say girl-,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2038"
00:00:53,00:00:54,... do you want a glass of bourbon?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2039"
00:00:56,00:00:58,".. Yes ma'am, this has been a week [crosstalk 00:00:58].",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2040"
00:00:58,00:00:58,"Do you want ice, or?",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2041"
00:01:00,00:01:03,"Yes, that'd be great, 'cause see, what's going to happen is when I get home, there will be no drinking.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2042"
00:01:05,00:01:07,"Cause your girl's not drinking, so you're not allowed?",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2043"
00:01:08,00:01:16,"Well, she doesn't drink in general. So it's always a hard, you know, she's hawkin' like how many drinks we have.",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2044"
00:01:16,00:01:16,Yeah.,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2045"
00:01:17,00:01:29,"You know, when a person doesn't drink, they're looking at you like, ""Oh-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2046"
00:01:28,00:01:29,Sure.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2047"
00:01:28,00:01:29,Right,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2048"
00:01:28,00:01:29,"... I think that's one too many.""",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2049"
00:01:28,00:01:29,"Yeah, you're definitely being scrutinized.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2050"
00:01:28,00:01:29,"Right, I know! I think that's too many! Hunny I just [crosstalk 00:01:29].",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2051"
00:01:28,00:01:29,Like no.,Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2052"
00:01:28,00:01:29,Is this Bulleit Rye okay [then 00:01:29]?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2053"
00:01:29,00:01:29,"Yes ma'am, that'd be great. I'm like, ""Girl, I'm 6'3""-",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2054"
00:01:29,00:01:30,Gesel do you want any?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2055"
00:01:29,00:01:30,Yes,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2056"
00:01:29,00:01:30,Do you want some?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2057"
00:01:30,00:01:32,"... 270 pounds. By the time-""",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2058"
00:01:32,00:01:32,[crosstalk 00:01:33].,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2059"
00:01:32,00:01:32,Do you want ice or no ice?,Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2060"
00:01:32,00:01:32,Ice please.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2061"
00:01:32,00:01:32,So Gesel-,Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2062"
00:01:32,00:01:32,Yes sir.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2063"
00:01:35,00:01:40,"... it might be best for ... well, it's just right now you're sitting right under his microphone-",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2064"
00:01:40,00:01:41,"I'm right, so should I be on that side?",Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2065"
00:01:41,00:01:47,"... and you're going to be super loud. The sight line is better here, so I'm thinking maybe I should just move the microphone.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2066"
00:01:47,00:01:48,I could do this.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2067"
00:01:48,00:01:50,"Nah, you're good. I'm just going to put this on the other side.",Dave,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2068"
00:01:49,00:01:50,Cause then he's going to end up looking at me over there.,Gesel Mason,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2069"
00:01:58,00:01:59,"This is better than doing it at school, right?",Speaker 1,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2070"
00:02:00,00:02:07,"... They ain't [inaudible 00:02:01] if you offer them bourbon! They'll then come over, but that was to pay, you know, no that was to pay",Rennie Harris,"Interview, Transcript, Rennie Harris, Gesel Mason, You Are Why!, No Boundaries Performance 2071"
