Start Time,End Time,Annotations,Type,Index
00:00:00',00:00:04',"Program text appears on the recording of performance, ""Jumping the Broom (2005). Choreography by David Rousseve. Text by David Rousseve. Music by Nat King Cole Trio ""If Yesterday Could Only Be Tomorrow."" Recorded voices include David Rousseve and Gesel Mason. Lighting Desing by Cheles Rhynes. Performed by Gesel Mason""",Transcript,"Program Information, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:07',00:00:27',"Stage is in a blackout as a raspy voice from what might be an older gentleman from the south begins to speak as if recalling an old memory ""Funny how it's the little things we remember about the times we want to forget. Guess my mind remembers the chirp of the crickets at sunset and the smell of sweet summer grass in hopes my heart might forget seeing my wife like that.""",Description,"Lighting, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:28',00:00:32',"A warm spotlight begins to fade in on the left side of the stage to reveal the performer. The raspy voice continues saying ""But I can't never forget that sight""",Description,"Lighting, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:32',00:00:32',The performer is wearing a tatered lace wedding gown. Her arms are exposed all the way up to the shoulder. On the right side of the dress is a red flower that sits on the performers chest. A rope ties her wrists together.,Description,"Costume, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:28',00:00:34',"The performer stands straight up with her arms pulled above her head. Her head is fallen back so she gazes up towards the ceiling.Her body slowly turns to left as if her arms are hanging from someting above. The voice continues saying ""or that it happened""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:37',00:00:37',"The performer makes a choking noise and her body jerks in response. Her body contiues back to turning. The voice says ""just 'cause we was so much in love""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:38',00:00:57',"The performer begins to slowly turn the opposite way. The voice says "" You see I never know nothing greater than the palm of Jesse's hand stroking my face as I fell asleep in her arms.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:49',00:00:49',"The performer chokes again, her body contracting again in response. The voice says ""That's what got me through those hot days of picking""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:00',00:01:00',"The performer's voice is strained as she makes a sounds that resembles a grunt and a gasp, attempting to breath.",Descrption,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:00:59',00:01:10',"The performer turns her body back to the left. The voice says ""At night when Jesse blows all the blisters on the back of my neck and wipe my face with her palms, well even the life of a slave somehow started to seem worth living.""",Description,"Performance, Recorded Text, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:10',00:01:11',The performers arms are released from above her head. The weight of her arms pulls her upper body down. She leans over with exhaustion. ,Description,"Performance, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:10',00:03:24',If Yesterday Could Only Be Tomorrow by Nat King Cole begins to play. The music is soft and romantic. It's long drawn out notes make the song slow and relaxing to listen to.,Description,"Recorded Music, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
00:01:14',00:01:29',The warm spotlight begins to become brighter around the performer,Description,"Lighting, David Rousséve, Gesel Mason, Jumping the Broom, No Boundaries Performance 2018"
